region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
AP,2020-03-23,nowcast,1.8,1.4,2.3,1.6,1.9,0
AP,2020-03-24,nowcast,1.7,1.4,2.1,1.6,1.9,0
AP,2020-03-25,nowcast,1.6,1.3,2,1.5,1.7,0
AP,2020-03-26,nowcast,1.5,1.2,1.8,1.4,1.6,0
AP,2020-03-27,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
AP,2020-03-28,nowcast,1.3,1,1.5,1.1,1.4,0.04
AP,2020-03-29,nowcast,1.2,0.9,1.4,1.1,1.2,0.11
AP,2020-03-30,nowcast,1.1,0.9,1.3,1,1.2,0.21
AP,2020-03-31,nowcast,1.1,0.9,1.3,1,1.1,0.31
AP,2020-04-01,nowcast,1,0.8,1.2,1,1.1,0.41
AP,2020-04-02,nowcast,1,0.9,1.2,0.9,1.1,0.43
AP,2020-04-03,nowcast,1,0.9,1.2,1,1.1,0.32
AP,2020-04-04,nowcast,1.1,0.9,1.3,1,1.1,0.19
AP,2020-04-05,nowcast,1.1,1,1.3,1,1.2,0.07
AP,2020-04-06,nowcast,1.2,1,1.4,1.1,1.3,0.03
AP,2020-04-07,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
AP,2020-04-08,nowcast,1.3,1.1,1.5,1.2,1.4,0
AP,2020-04-09,nowcast,1.3,1.1,1.5,1.3,1.4,0
AP,2020-04-10,nowcast,1.3,1.2,1.5,1.3,1.4,0
AP,2020-04-11,nowcast,1.3,1.2,1.5,1.3,1.4,0
AP,2020-04-12,nowcast,1.3,1.2,1.5,1.2,1.4,0
AP,2020-04-13,nowcast,1.3,1.2,1.5,1.3,1.4,0
AP,2020-04-14,nowcast,1.3,1.1,1.5,1.2,1.4,0
AP,2020-04-15,nowcast,1.3,1.1,1.5,1.2,1.4,0
AP,2020-04-16,nowcast,1.3,1.1,1.4,1.2,1.3,0.01
AP,2020-04-17,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
AP,2020-04-18,nowcast,1.2,1,1.4,1.1,1.3,0.02
AP,2020-04-19,nowcast,1.2,1,1.3,1.1,1.2,0.05
AP,2020-04-20,nowcast,1.2,1,1.3,1.1,1.2,0.08
AP,2020-04-21,nowcast,1.1,1,1.3,1.1,1.2,0.11
AP,2020-04-22,nowcast,1.1,0.9,1.3,1,1.2,0.16
AP,2020-04-23,nowcast,1.1,0.9,1.3,1,1.2,0.22
BR,2020-03-26,nowcast,1.5,0.9,2.1,1.2,1.6,0.07
BR,2020-03-27,nowcast,1.4,0.9,2,1.1,1.6,0.08
BR,2020-03-28,nowcast,1.4,0.9,1.9,1.2,1.6,0.08
BR,2020-03-29,nowcast,1.4,0.9,1.9,1.2,1.6,0.07
BR,2020-03-30,nowcast,1.4,1,2,1.2,1.6,0.05
BR,2020-03-31,nowcast,1.5,1,2,1.2,1.6,0.04
BR,2020-04-01,nowcast,1.5,1,2,1.3,1.7,0.02
BR,2020-04-02,nowcast,1.5,1.1,2,1.3,1.7,0.01
BR,2020-04-03,nowcast,1.6,1.1,2,1.3,1.7,0.01
BR,2020-04-04,nowcast,1.6,1.2,2,1.4,1.7,0.01
BR,2020-04-05,nowcast,1.5,1.1,1.9,1.3,1.7,0.01
BR,2020-04-06,nowcast,1.5,1.2,2,1.4,1.7,0.01
BR,2020-04-07,nowcast,1.6,1.2,2,1.4,1.7,0
BR,2020-04-08,nowcast,1.6,1.2,2,1.4,1.7,0
BR,2020-04-09,nowcast,1.7,1.3,2.1,1.5,1.8,0
BR,2020-04-10,nowcast,1.7,1.3,2.1,1.5,1.8,0
BR,2020-04-11,nowcast,1.7,1.4,2.1,1.5,1.8,0
BR,2020-04-12,nowcast,1.7,1.4,2.1,1.5,1.8,0
BR,2020-04-13,nowcast,1.7,1.4,2.1,1.6,1.8,0
BR,2020-04-14,nowcast,1.7,1.4,2.1,1.5,1.8,0
BR,2020-04-15,nowcast,1.7,1.3,2,1.5,1.8,0
BR,2020-04-16,nowcast,1.6,1.3,1.9,1.5,1.7,0
BR,2020-04-17,nowcast,1.5,1.2,1.8,1.4,1.6,0
BR,2020-04-18,nowcast,1.5,1.2,1.8,1.4,1.6,0
BR,2020-04-19,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
BR,2020-04-20,nowcast,1.3,1.1,1.6,1.2,1.4,0.03
BR,2020-04-21,nowcast,1.2,1,1.5,1.1,1.3,0.06
BR,2020-04-22,nowcast,1.2,0.9,1.4,1.1,1.3,0.11
BR,2020-04-23,nowcast,1.1,0.9,1.4,1,1.2,0.22
DL,2020-03-09,nowcast,2.2,1.4,3.1,1.7,2.4,0
DL,2020-03-10,nowcast,2.1,1.4,3,1.8,2.4,0
DL,2020-03-11,nowcast,2.1,1.4,2.9,1.7,2.3,0
DL,2020-03-12,nowcast,2.1,1.4,2.8,1.8,2.3,0
DL,2020-03-13,nowcast,2.1,1.5,2.7,1.8,2.3,0
DL,2020-03-14,nowcast,2,1.5,2.7,1.8,2.2,0
DL,2020-03-15,nowcast,2,1.5,2.6,1.8,2.2,0
DL,2020-03-16,nowcast,2,1.5,2.5,1.8,2.2,0
DL,2020-03-17,nowcast,2,1.5,2.5,1.8,2.2,0
DL,2020-03-18,nowcast,2,1.6,2.5,1.8,2.2,0
DL,2020-03-19,nowcast,2,1.6,2.4,1.8,2.1,0
DL,2020-03-20,nowcast,2,1.6,2.4,1.8,2.1,0
DL,2020-03-21,nowcast,1.9,1.6,2.3,1.8,2.1,0
DL,2020-03-22,nowcast,1.9,1.6,2.3,1.7,2,0
DL,2020-03-23,nowcast,1.8,1.5,2.2,1.7,1.9,0
DL,2020-03-24,nowcast,1.8,1.5,2.1,1.6,1.9,0
DL,2020-03-25,nowcast,1.7,1.4,2,1.6,1.8,0
DL,2020-03-26,nowcast,1.6,1.3,1.9,1.5,1.7,0
DL,2020-03-27,nowcast,1.5,1.3,1.8,1.4,1.6,0
DL,2020-03-28,nowcast,1.4,1.2,1.7,1.3,1.5,0
DL,2020-03-29,nowcast,1.4,1.2,1.6,1.3,1.4,0
DL,2020-03-30,nowcast,1.3,1.1,1.5,1.2,1.4,0
DL,2020-03-31,nowcast,1.3,1.1,1.5,1.2,1.3,0
DL,2020-04-01,nowcast,1.3,1.1,1.4,1.2,1.3,0
DL,2020-04-02,nowcast,1.3,1.1,1.4,1.2,1.3,0
DL,2020-04-03,nowcast,1.3,1.1,1.4,1.2,1.3,0
DL,2020-04-04,nowcast,1.2,1.1,1.4,1.2,1.3,0
DL,2020-04-05,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
DL,2020-04-06,nowcast,1.1,1,1.3,1.1,1.2,0.05
DL,2020-04-07,nowcast,1.1,0.9,1.2,1,1.1,0.2
DL,2020-04-08,nowcast,1,0.9,1.1,1,1.1,0.43
DL,2020-04-09,nowcast,1,0.9,1.1,0.9,1,0.63
DL,2020-04-10,nowcast,1,0.9,1.1,1,1,0.52
DL,2020-04-11,nowcast,1.1,0.9,1.2,1,1.1,0.2
DL,2020-04-12,nowcast,1.1,1,1.2,1,1.1,0.04
DL,2020-04-13,nowcast,1.2,1,1.3,1.1,1.2,0.01
DL,2020-04-14,nowcast,1.2,1.1,1.3,1.1,1.2,0
DL,2020-04-15,nowcast,1.2,1.1,1.3,1.2,1.3,0
DL,2020-04-16,nowcast,1.2,1.1,1.4,1.2,1.3,0
DL,2020-04-17,nowcast,1.3,1.2,1.4,1.2,1.3,0
DL,2020-04-18,nowcast,1.3,1.2,1.4,1.2,1.3,0
DL,2020-04-19,nowcast,1.3,1.2,1.4,1.2,1.3,0
DL,2020-04-20,nowcast,1.3,1.2,1.4,1.2,1.3,0
DL,2020-04-21,nowcast,1.3,1.1,1.4,1.2,1.3,0
DL,2020-04-22,nowcast,1.2,1.1,1.4,1.2,1.3,0
DL,2020-04-23,nowcast,1.2,1.1,1.4,1.2,1.3,0
GJ,2020-03-15,nowcast,2,1.4,2.6,1.6,2.1,0
GJ,2020-03-16,nowcast,1.9,1.3,2.5,1.6,2.1,0
GJ,2020-03-17,nowcast,1.8,1.3,2.3,1.6,2,0
GJ,2020-03-18,nowcast,1.8,1.3,2.3,1.5,1.9,0
GJ,2020-03-19,nowcast,1.7,1.3,2.2,1.5,1.9,0
GJ,2020-03-20,nowcast,1.8,1.3,2.2,1.6,1.9,0
GJ,2020-03-21,nowcast,1.8,1.4,2.2,1.6,1.9,0
GJ,2020-03-22,nowcast,1.8,1.5,2.3,1.6,1.9,0
GJ,2020-03-23,nowcast,1.9,1.5,2.3,1.7,2,0
GJ,2020-03-24,nowcast,1.9,1.5,2.3,1.7,2,0
GJ,2020-03-25,nowcast,1.9,1.5,2.3,1.7,2,0
GJ,2020-03-26,nowcast,1.9,1.6,2.3,1.7,2,0
GJ,2020-03-27,nowcast,1.9,1.6,2.3,1.7,2,0
GJ,2020-03-28,nowcast,1.9,1.6,2.2,1.7,2,0
GJ,2020-03-29,nowcast,1.9,1.6,2.3,1.8,2,0
GJ,2020-03-30,nowcast,1.9,1.6,2.2,1.7,2,0
GJ,2020-03-31,nowcast,1.9,1.6,2.2,1.7,2,0
GJ,2020-04-01,nowcast,1.8,1.6,2.1,1.7,1.9,0
GJ,2020-04-02,nowcast,1.8,1.5,2.1,1.6,1.9,0
GJ,2020-04-03,nowcast,1.7,1.5,2,1.6,1.8,0
GJ,2020-04-04,nowcast,1.7,1.5,1.9,1.6,1.8,0
GJ,2020-04-05,nowcast,1.6,1.4,1.9,1.5,1.7,0
GJ,2020-04-06,nowcast,1.6,1.4,1.8,1.5,1.6,0
GJ,2020-04-07,nowcast,1.5,1.4,1.7,1.4,1.6,0
GJ,2020-04-08,nowcast,1.5,1.3,1.7,1.4,1.6,0
GJ,2020-04-09,nowcast,1.5,1.3,1.7,1.4,1.5,0
GJ,2020-04-10,nowcast,1.4,1.3,1.6,1.4,1.5,0
GJ,2020-04-11,nowcast,1.4,1.3,1.6,1.3,1.5,0
GJ,2020-04-12,nowcast,1.3,1.2,1.5,1.3,1.4,0
GJ,2020-04-13,nowcast,1.3,1.1,1.4,1.2,1.3,0
GJ,2020-04-14,nowcast,1.2,1.1,1.4,1.2,1.3,0
GJ,2020-04-15,nowcast,1.2,1,1.3,1.1,1.2,0.01
GJ,2020-04-16,nowcast,1.1,1,1.2,1.1,1.2,0.02
GJ,2020-04-17,nowcast,1.1,1,1.2,1.1,1.1,0.02
GJ,2020-04-18,nowcast,1.1,1,1.2,1.1,1.1,0.02
GJ,2020-04-19,nowcast,1.1,1,1.2,1.1,1.1,0.01
